title,code,industry,link,Assessing Authority,Federal Lists,Skilled Visas,Employer Sponsored Visas,State Nomination
Mechanical Engineer,233512,233512,https://www.anzscolookup.com.au/occupations/233512,Engineers Australia,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Mechanical Engineering Draftsperson,312511,312511,https://www.anzscolookup.com.au/occupations/312511,Engineers Australia,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 8 states"
Mechanical Engineering Technician,312512,312512,https://www.anzscolookup.com.au/occupations/312512,TRA,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
media producer (excluding video),212112,212112,https://www.anzscolookup.com.au/occupations/212112,VETASSESS,ROL,Not available,Subclass 494,"190: 0 states, 491: 0 states"
Medical Administrator,134211,134211,https://www.anzscolookup.com.au/occupations/134211,VETASSESS,"ROL, CSOL",Subclass 491,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 7 states"
Medical Diagnostic Radiographer,251211,251211,https://www.anzscolookup.com.au/occupations/251211,ASMIRT,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Medical Laboratory Scientist,234611,234611,https://www.anzscolookup.com.au/occupations/234611,AIMS,MLTSSL,"Subclass 189, Subclass 190, Subclass 491, Subclass 485",Subclass 494,"190: 7 states, 491: 7 states"
Medical Laboratory Technician,311213,311213,https://www.anzscolookup.com.au/occupations/311213,AIMS,"STSOL, ROL","Subclass 190, Subclass 491",Subclass 494,"190: 7 states, 491: 8 states"
Medical Oncologist,253314,253314,https://www.anzscolookup.com.au/occupations/253314,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Medical Practitioners (NEC),253999,253999,https://www.anzscolookup.com.au/occupations/253999,MedBA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Medical Radiation Therapist,251212,251212,https://www.anzscolookup.com.au/occupations/251212,ASMIRT,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 8 states, 491: 8 states"
Medical Technicians (NEC),311299,311299,https://www.anzscolookup.com.au/occupations/311299,VETASSESS,"STSOL, CSOL, ROL","Subclass 190, Subclass 491","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
Metal Casting Trades Worker,322114,322114,https://www.anzscolookup.com.au/occupations/322114,TRA,"CSOL, ROL",Not available,"Subclass 482, Subclass 186, Subclass 494","190: 0 states, 491: 0 states"
Metal Fabricator,322311,322311,https://www.anzscolookup.com.au/occupations/322311,TRA,"MLTSSL, CSOL","Subclass 189, Subclass 190, Subclass 491, Subclass 485","Subclass 482, Subclass 186, Subclass 494","190: 7 states, 491: 7 states"
